Pic_Num,Dominant_Response,Synonyms
obj001,accordion,"piano, instrument,"
obj002,acorn,"nut, chestnut,"
obj003,airplane,"jet, plane, jetplane, airliner, aircraft,"
obj004,alligator,"crocodile, lizard,"
obj005,anchor,"ship, boat, anvil,"
obj006,ant,"insect, bee, hornet, fly, bug, grasshopper,"
obj007,antlers,"moose, horn, deer, spike,"
obj008,anvil,
obj009,apple,"fruit,"
obj010,fishtank,"fish, aquarium, tank, box, tank fishtank,"
obj011,arm,"forearm, hand, body,"
obj012,arrow,
obj013,artichoke,"asparagus, cauliflower,"
obj014,ashtray,
obj015,asparagus,"artichoke, broccoli, pea,"
obj016,ax,"tomahawk, hatchet, axe, saw,"
obj017,baby,"infant, kid,"
obj018,bottle,"baby bottle,"
obj019,stroller,
obj020,backpack,"knapsack, bag, rucksack, bookbag,"
obj021,badge,"police, medal, star,"
obj022,bag,"lunch bag, paper bag, sack,"
obj023,balcony,"porch, veranda, terrace, window, windows,"
obj024,ball,"rattle, soccer ball, volleyball,"
obj025,balloon,
obj026,banana,"fruit,"
obj027,bandaid,"bandage,"
obj028,banjo,"guitar, instrument, ukelele,"
obj029,barbecue,"grill, griddle, barbecue grill, firepit, stove,"
obj030,barrel,"keg, bucket, pail,"
obj031,basket,"box, bag, crate, picnic basket,"
obj032,bat,
obj033,bathtub,"bath, tub, soap,"
obj034,bear,"grizzly, polar bear,"
obj035,beard,"facial hair, Santa, mustache, man,"
obj036,beaver,"otter, platypus, woodchuck, groundhog, marmot, badger, porcupine, wombat, hamster, squirrel, possum,"
obj037,bed,
obj038,bee,"bug, fly, bumblebee, insect, bug fly,"
obj039,bug,"beetle, insect, ladybug, fly,"
obj040,bell,
obj041,belt,"collar,"
obj042,bench,"seat, chair,"
obj043,bicycle,"bike,"
obj044,binoculars,"telescope,"
obj045,bird,"sparrow, finch, robin, swallow, crow,"
obj046,blimp,"airship, hot air balloon, balloon, air baloon, helium, Zeppelin, dirigible, squash,"
obj047,wood,"plank, platform, timber, slab, harmonica, wood plank,"
obj048,boat,"ship, craft,"
obj049,bomb,"TNT, explosive, grenade, firecracker,"
obj050,bone,
obj051,book,"novel, textbook, bible,"
obj052,boot,"shoe, cowboy boot,"
obj053,bottle,"beer, water, glass, jug,"
obj054,bowl,"cup, dish, plate,"
obj055,bow,"bowtie, ribbon, tie,"
obj056,box,"package, carton,"
obj057,boy,"child, kid, youngster, youth, son, minor, teenager, man,"
obj058,branch,"tree, leaf, leaves, bark, twig, extension, branches,"
obj059,bra,"bikini,"
obj060,bread,"loaf, toast,"
obj061,bride,"wedding, woman, dress, gown, mate, newlywed, spouse, wife, princess,"
obj062,bridge,"Golden Gate Bridge, overpass, San Francisco bridge,"
obj063,broom,"mop, sweeper,"
obj064,brush,"hair brush, comb,"
obj065,bus,"bus driver, driver, public transportation, schoolbus,"
obj066,butter,"plate, oil, margarine, spread,"
obj067,butterfly,"moth,"
obj068,button,"wheel, plate,"
obj069,cactus,"cacti, cactuses,"
obj070,cage,"crate, pen, empty, box,"
obj071,cake,"bite, bitten, wedding cake, dessert, eaten, cheese,"
obj072,camel,"hump, humps, llama, goat,"
obj073,camera,"digital camera, lens,"
obj074,can,"tomatoes, tomato, container, canister, tin, open can, opened can, canned tomatoes, soup, tin can,"
obj075,candle,"light,"
obj076,cane,"club, walker, walking stick, pole, hook,"
obj077,cannon,"howitzer, artillery, wheel,"
obj078,canoe,"boat, kayak, dinghy, raft,"
obj079,canopener,
obj080,hat,"beret, cap, crochet,"
obj081,car,"automobile, sedan, station wagon, vehicle,"
obj082,carousel,"merry go round, ride, circus, carnival,"
obj083,carrot,"vegetable, herb,"
obj084,tape,"cassette, recorder, recording, VHS,"
obj085,castle,"fort, fortress, tower, citadel, moat, palace, sandcastle,"
obj086,cat,"cats, kitten, kitty,"
obj087,celery,"cucumber, vegetable, parsley, lettuce,"
obj088,chain,"rope, necklace,"
obj089,chair,"seat,"
obj090,cheese,
obj091,cherry,"grape, peach, apple, pear, plum,"
obj092,chest,"body, hair, body hair, nipple, nipples, abdomen, stomach, muscle, hairy chest, torso,"
obj093,chicken,"rooster, bird, turkey, hen, poultry,"
obj094,chimney,"roof, brick, pipe, fireplace, stack, vent,"
obj095,church,"cathedral, chapel, mosque, parish, sanctuary, shrine, synagogue, temple, bethel, abbey,"
obj096,cigarette,"smoke, smoking, cigar,"
obj097,city,"skyline, highway, buildings, commute, downtown, turnpike, car, freeway,"
obj098,clamp,
obj099,clock,"time, alarm, watch,"
obj100,clothespin,
obj101,cloud,"clouds, mashed potatoes, pie, pile, bush, potatoe,"
obj102,clown,"joker,"
obj103,coat,"jacket, cloak, overcoat, suit, shirt, dress coat, suit coat, lab coat, raincoat,"
obj104,dime,"coin, money, change, gold, nickel, quarter, penny,"
obj105,pillar,"column, pedestal, pilaster, lighthouse, pole, statue, tower,"
obj106,comb,"brush, hair comb,"
obj107,cookie,
obj108,cork,"cap, plug, top,"
obj109,corkscrew,
obj110,corn,"corn on the cob, ear of corn,"
obj111,cow,"bull, ox, buffalo, bison,"
obj112,cowboy,"dance, dancer, man, sheriff, officer,"
obj113,crab,"lobster, crustacean, spider,"
obj114,crackers,"saltine, saltines, cookie, cookies, graham cracker, graham crackers, cracker,"
obj115,crib,"bed, bassinet,"
obj116,cross,"Christianity,"
obj117,crown,"king, regal, cake,"
obj118,block,"cube, square, ice, box, dice, ice cube, cheese block,"
obj119,cup,"mug, drink, teacup, coffee cup,"
obj120,curtains,"blinds, drapes, shades, shutters, window, curtain,"
obj121,deer,"reindeer, elk, antelope, caribou, buck,"
obj122,dentist,"orthodontist, oral surgeon, doctor, patient, feeding, nurse,"
obj123,desert,"cactus, cacti, wildlife, savanna,"
obj124,desk,"cabinet, table, drawer, dresser,"
obj125,diaper,"underwear, underpants, pants,"
obj126,dinosaur,"brontosaurus, plesiosaurus, brachiosaurus,"
obj127,doctor,"priest, friar, preacher,"
obj128,dog,"puppy, hound,"
obj129,doll,"puppet, figurine, ballerina, girl, baby doll,"
obj130,dolphin,"shark, porpoise,"
obj131,donkey,"horse, mule, pony,"
obj132,door,"window,"
obj133,dragon,"phoenix,"
obj134,drawer,"cabinet, dresser, cupboard, sink,"
obj135,dress,"doll, gown, mannequin,"
obj136,dresser,"drawer, cabinet, chest, cupboard, drawers, desk, chest of drawers, bureau, dresser drawer,"
obj137,drill,"driver, screwdriver, nail gun, tool, power drill,"
obj138,drum,"instrument, drums, drumset, tambourine,"
obj139,duck,"duckling, goose, mallard, swan, seagull, pelican,"
obj140,dustpan,"bin, dustbin,"
obj141,eagle,"bird, raven, hawk, falcon,"
obj142,ear,"audio, earlobe,"
obj143,earring,
obj144,egg,"egg holder, holder, boiled egg,"
obj145,elephant,
obj146,envelope,"mail, letter,"
obj147,eskimo,"Inuit, cold, jacket, fur,"
obj148,eye,"eyeball, pupil, iris, eyelash, eyelashes, vision,"
obj149,fan,"blower,"
obj150,faucet,"sink, nozzle, valve, tap, water, spigot, water spigot,"
obj151,feather,"quill, quill pen, pen,"
obj152,fence,"wall, gate,"
obj153,finger,"index finger, middle finger, ring finger, touch,"
obj154,fire,"bonfire, campfire, blaze, log,"
obj155,fireman,"man, firefighter,"
obj156,firetruck,"fire, burning building, ladder, fire engine, bus, firecar,"
obj157,fish,
obj158,fishingpole,"bait, fishing rod, fishing line, rod, hook, casting rod, casting line, fly rod, fishing, pole, _sword,"
obj159,flag,"flag, pennant, banner,"
obj160,flashlight,"spotlight, light,"
obj161,wine,
obj162,floor,"checkers, room, tiles, tiled floor, tile, flooring,"
obj163,flower,"sunflower, daisy, daffodil, dandylion, petunia,"
obj164,flute,"recorder, piccolo, clarinet, oboe,"
obj165,fly,"bug, bee, flea, gnat, bumblebee, housefly,"
obj166,foot,"foot, toe, toes, ankle, feet,"
obj167,football,"ball, American football,"
obj168,fork,"utensil,"
obj169,fountain,"water, stream, water fountain, sprinkler,"
obj170,fox,"wolf, coyote, hyena, animal,"
obj171,frog,"toad,"
obj172,funnel,"filter, syphon, pour,"
obj173,trash,"garbage, dump, garbage dump, litter, waste,"
obj174,gas,"gas station, refill, fuel, diesel,"
obj175,fence,"door, entrance, wall, gate, doorway,"
obj176,genie,"wizard, spirit, ghost, aladdin,"
obj177,ghost,
obj178,giraffe,"zebra,"
obj179,girl,"child, kid, youngster, youth, daughter, minor, little girl, woman,"
obj180,glass,"cup, bottle, cup, drink,"
obj181,glasses,
obj182,globe,"map, planet, world, atlas,"
obj183,glove,"mitt, hand,"
obj184,goat,"sheep, ram, lamb, camel, ox,"
obj185,gorilla,"monkey, ape, baboon, chimpanzee, orangutan,"
obj186,grapes,"fruit, grape,"
obj187,grasshopper,"bug, insect,"
obj188,guitar,
obj189,gun,"handgun, pistol, revolver, firearm,"
obj190,hair,"woman, long hair, curly hair, wig,"
obj191,brush,"hair brush, comb,"
obj192,hamburger,"patty, burger, sandwich, cheeseburger,"
obj193,hammer,"mallet, drill,"
obj194,hammock,
obj195,hand,"finger, fingers,"
obj196,handcuffs,"arrested, arrest, shackles, cuffs, chains, chained,"
obj197,hanger,"clothes rod, wire hanger, coat hanger, clothes hanger,"
obj198,harp,"angel, wing, harpsicord, cello, accordion, harmony,"
obj199,hat,"fedora,"
obj200,hay,"bush, leaves, pile,"
obj201,heart,"love, valentine, love heart,"
obj202,heel,"shoe, high heel, heels, wedge, wedges, platform, dress shoe, foot, shoe heel, stiletto, high heel shoe,"
obj203,helicopter,"chopper, copter,"
obj204,helmet,"hard hat,"
obj205,highchair,"tool, chair, seat,"
obj206,hinge,
obj207,hippo,"hippopotamus, rhino, rhinoceros, animal,"
obj208,hoe,"rake,"
obj209,hoof,"foot, heel, paw, hoove, horseshoe, horse hoof, shoe,"
obj210,hook,
obj211,horse,"colt, pony, donkey, mule,"
obj212,hose,"water hose, snake, watering hose, garden hose,"
obj213,house,"home, building, residence,"
obj214,firehydrant,"hydrant, firehydrants, water tank, fireplug, firehose,"
obj215,icecreamcone,"ice cream, cone,"
obj216,igloo,"shell, house,"
obj217,iron,"flat iron,"
obj218,ironingboard,
obj219,jack,
obj220,jacket,"coat, cloak, overcoat, sweater,"
obj221,jar,"jug, vase, vessel, bottle, can, mason jar,"
obj222,puzzle,"puzzle pieces, pieces, jigsaw puzzle,"
obj223,jumprope,"rope, whip, jumping rope,"
obj224,kangaroo,
obj225,key,
obj226,king,"regal, crown, throne, emperor, monarch,"
obj227,kite,
obj228,knife,"utensil, butterknife,"
obj229,knight,"horse, cavalier, doll, warrior, jouster, knight on horse, pirate, soldier, charger,"
obj230,knot,"loop,"
obj231,ladder,"stairs,"
obj232,ladle,
obj233,ladybug,"beetle, bug, ladybeetle, insect,"
obj234,lamp,"light, lantern,"
obj235,lawnmower,"mower, cutter, trimmer,"
obj236,leaf,"petal, leaves,"
obj237,leg,"calf, shin, foreleg, knee, foot, feet,"
obj238,lemon,"lime, orange, fruit,"
obj239,leopard,"cheetah, tiger, lion, cat, panther, jaguar,"
obj240,letter,"mail, note, message, letters, paper, correspondence, postcard,"
obj241,lettuce,"cabbage, spinach, romaine, kale, leaf, leaves, flower, spinach,"
obj242,lightbulb,"bulb, light,"
obj243,lighthouse,"lookout, watchtower,"
obj244,lightning,"storm, rainstorm, lightning storm, rain, lightning bolt, thunder, thunderstorm,"
obj245,lightswitch,"light, switch, flip switch,"
obj246,lion,"tiger,"
obj247,lips,"mouth,"
obj248,lipstick,"makeup,"
obj249,lizard,"iguana, salamander, gecko, crocodile, alligator, reptile,"
obj250,llama,"alpaca, sheep, ostrich, camel, yak, goat, animal,"
obj251,lobster,"crustacean, crab, crawfish, shrimp,"
obj252,lock,"unlock, unlocked, locked, padlock,"
obj253,log,"wood, timber, chunk,"
obj254,magnet,"magnetic pull, shoehorn, horseshoe,"
obj255,mailbox,"mail, letterbox, letters, postbox,"
obj256,man,"male, adult, businessman, person, boy,"
obj257,map,"America, Uniteds States, North America, atlas, globe,"
obj258,mask,"facemask,"
obj259,match,"lighter, match stick, paintbrush, brush, spoon,"
obj260,medal,"award, honor, watch, coin, battle, traintracks, quarter, money, dime, penny, medallion, badge,"
obj261,microphone,"mic,"
obj262,microscope,"magniscope, magnifying stick, magnifying glass, telescope, scope,"
obj263,mirror,"reflection,"
obj264,mixer,"blender, beater,"
obj265,priest,"pope, minister, father, monk, friar,"
obj266,monkey,"ape, baboon, chimpanzee, gorilla, lemur, orangutan, baby monkey,"
obj267,moon,"crescent moon, banana, half moon, quarter moon, crescent,"
obj268,moose,"elk, deer, animal, reindeer,"
obj269,mop,"broom, towel, squeegee, spill, broom mop,"
obj270,mosquito,"bug, insect, fly, pest, flea, dragonfly, spider, mayfly,"
obj271,motorcycle,"bike, bicycle, motorbike, moped, scooter, minibike, semi,"
obj272,mountain,"peak, apex, ridge, Matterhorn, mountain top, Fuji,"
obj273,mouse,"rat, hamster, mole,"
obj274,mousetrap,"trap,"
obj275,mushroom,"plant,"
obj276,music,"musical note, musical notes, treble clef,"
obj277,nail,"screw, bolt,"
obj278,neck,"woman, collar, chin, throat, mouth, face,"
obj279,necklace,"choker, jewelry, beads, pearls, pearl necklace, collar, chain,"
obj280,needle,"flag,"
obj281,nest,"eggs, basket, eggs nest, birdnest, birdsnest,"
obj282,net,"mesh, web, lattice, hoop, fishing net, nets,"
obj283,nose,"snout, nostril, nostrils, sniff,"
obj284,nurse,"woman, female, adult, waitress, maid, girl,"
obj285,nut,"bolt, screw, rivet,"
obj286,octopus,"tentacles, squid, giant squid,"
obj287,onion,"garlic, shallot, scallion,"
obj288,orange,"tangerine, grapefruit, clementine, mandarin, peach, apricot, fruit, rock,"
obj289,ostrich,"emu, turkey, llama, flamingo, pigeon, bird, swan,"
obj290,owl,
obj291,package,"bomb, gift, mail, packet, explosive, parcel,"
obj292,bucket,"canister, pail, vat, container,"
obj293,paintbrush,"brush, bristle, pen, quill,"
obj294,paint,"paintbrush, paintbrushes, palette, paint palette, art, painting, artist palette, watercolor, color, easel, paint pad, canvas, painting palette, painter's palette,"
obj295,palmtree,"tree, coconut tree, pine tree,"
obj296,pan,"kettle, pot, saucepan, frying pan, sheet, skillet,"
obj297,panda,"bear, panda bear, polar bear, bear panda bear,"
obj298,pants,"jeans, trousers, slacks, chinos, corduroys, denims,"
obj299,paper,"papers, essay, looseleaf paper, looseleaf papers, journal, assignment, homework, notes, napkins, note paper, notebook, sheet,"
obj300,paperclip,"safety pin, clip, pin,"
obj301,parachute,"safety net, hot air balloon, present, package, balloon, crate, kite, parachute with package,"
obj302,parrot,"bird, macaw, parakeet, toucan, cockatoo, lovebird, pecan,"
obj303,paw,"foot, claw, dog foot, hoof,"
obj304,peach,"tangerine, grapefruit, clementine, mandarin, orange, apricot, nectarine, fruit,"
obj305,peacock,"turkey, peafowl, peahen, feather, feathers, flamingo, ostrich, bird,"
obj306,peanut,"nut, kernel, cashew, almond, pistachio, walnut, hazelnut,"
obj307,pear,"avocado, fruit, apple,"
obj308,peas,"beans, peapod, pea, green beans, pod, stalk,"
obj309,pelican,"seagull, bird, crane, stork, toucan, egret, swan, duck, penguin,"
obj310,pen,"ballpoint pen, writing utensil, pencil, writing instrument, fountain pen, quill,"
obj311,pencil,"pencil,"
obj312,pencilsharpener,
obj313,penguin,"puffin, bird, pelican, seagull,"
obj314,piano,"instrument, music, musical instrument, keyboard, grand piano, organ,"
obj315,picture,"painting, drawing, boat, ship, decor, art, oil panting, photo,"
obj316,pig,"boar, hog, piglet,"
obj317,bird,"pigeon, dove, crow, turkey, chicken, rooster, hen, swallow, fowl,"
obj318,piggybank,"pig, savings, decoration, deposit, piggybanks,"
obj319,pillow,"flag, cushion, padding, American flag,"
obj320,pineapple,"fruit,"
obj321,pinecone,"pineapple, acorn,"
obj322,pipe,"blunt, cigar,"
obj323,pirate,"sailor, raider, buccaneer, pirate ship, man, male, captain, person,"
obj324,pitcher,"jug, vase, vessel, bottle, container, pint, jar, teapot, water pitcher, vat, cup,"
obj325,pitchfork,"trident, rake, weapon,"
obj326,pizza,"pizza pie, pizza slices, slices,"
obj327,plate,"setting, dish, platter, table setting, utensils, set, place setting, dinner plate,"
obj328,pliers,"wrench,"
obj329,plug,"socket, outlet, jack, electrical plug, power cord, connector, electric outlet, plugin,"
obj330,policeman,"man, woman, police woman, detective, female, male, cop, officer, patrol man, patrol woman, sheriff, guard, stopping guard, police officer,"
obj331,pool,"swimming pool,"
obj332,popcorn,
obj333,popsicle,"lollipop, ice cream, sorbet, popsicle stick, popsicle sticks, sticks, stick, ice cream stick, ice cream sticks, dessert,"
obj334,porcupine,"hedgehog, possum, echidna, skunk, rat,"
obj335,pot,"bowl, bucket, kettle, pan, container, canister, can, trashcan, dish,"
obj336,potato,"chip, potato chip, amoeba, crisp, yam, rice, grain, mashed potatoes,"
obj337,present,"gift, package, box, gift box,"
obj338,priest,"pope, minister, father, monk, friar,"
obj339,pumpkin,"squash, fruit, tomato, onion, pepper,"
obj340,purse,"pocket book, hand bag, bag, pouch, wallet, clutch, money bag,"
obj341,pyramid,"Egypt, shrine, tomb, prism,"
obj342,queen,"regal, crown, throne, emperor, monarch, king,"
obj343,rabbit,"bunny, hare, rodent, squirrel, chinchilla,"
obj344,raccoon,"possum, cat, badger, skunk, fox,"
obj345,radio,"alarm clock, cable, box, cassette, tape, stereo,"
obj346,radish,
obj347,rain,"puddle, puddles, rain puddle, shower, drizzle, flood, storm, raindrops, water, puddle of rain,"
obj348,rainbow,
obj349,rake,"trident, shovel, brush, stick, pole,"
obj350,razor,"spaceship, blade, razorblade, shaving, shaver, windshieldwiper, gun, harmonica,"
obj351,recordplayer,"DJ, music, record, stereo, boombox, instrument, CD,"
obj352,refrigerator,"fridge, freezer, appliance,"
obj353,rhinoceros,"rhino, hippo, hippopotamus, unicorn, animal,"
obj354,gun,"rifle, shotgun, sniper, firearm, musket,"
obj355,ring,"engagement ring, wedding ring, band, wedding band, engagement band, a ring,"
obj356,road,"drive, highway, street, dessert, interstate, rural, freeway, roadway,"
obj357,robot,
obj358,rock,"boulder, stone,"
obj359,rocket,"spaceship, firework, missile, spacecraft, weapon, rocket ship,"
obj360,rockingchair,"chair, armchair, recliner, rocker,"
obj361,rollerskate,"rollerblade, rollerblades, rollerskates, shoe, skate, skates,"
obj362,rollingpin,"roller, pin, roll,"
obj363,roof,"house, ceiling, shingles, rooftop,"
obj364,rooster,"chicken, hen, duck, turkey, bird,"
obj365,rope,"thread, twine,"
obj366,rose,"flower, tulip, orchid, poppy,"
obj367,rug,"carpet, blanket, towel,"
obj368,ruler,"yardstick, measure, measuring stick,"
obj369,saddle,"seat, drape,"
obj370,safe,"lock, lockbox, locker, safety box, safety, refrigerator,"
obj371,safetypin,"pin, clip, bobby pin, clothespin, paperclip, clothing pin,"
obj372,sailboat,"ship, boat, sail, catamaran, sunfish, vessel, yacht, sloop, boats,"
obj373,sailor,"man, male, boater, mariner, shipmate, yachter, graduate,"
obj374,salt,"shaker, pepper, salt shaker, pepper shaker, condiment, sugar,"
obj375,sandwich,
obj376,saw,"ax, tool, cutter,"
obj377,saxophone,"instrument, music, musical instrument, clarinet, trumpet,"
obj378,scale,"weigh, balance, weight,"
obj379,scarf,"bandana, shawl, muffler,"
obj380,scissors,"scissor, clippers, trimmers,"
obj381,scorpion,"lobster, arachnid, crustacean, crab, crawfish,"
obj382,screw,"nail, bolt, nut, rivet,"
obj383,screwdriver,"flathead, drill, tool,"
obj384,seahorse,"sea dragon, snail, dragon, water horse,"
obj385,seal,"sea lion, otter, walrus, manatee, seahorse, platypus,"
obj386,seesaw,"teeter totter, swing, swing set,"
obj387,sewingmachine,"iron,"
obj388,shark,"orca, hammerhead, fish, whale,"
obj389,sheep,"goat, lamb, ram, cow, animal,"
obj390,shell,"seashell, clam, clamshell,"
obj391,boat,"ship, Titanic, vessel, yacht, barge, cruse ship, steamship,"
obj392,shirt,"long sleeve shirt, button down shirt, long sleeves, dress shirt, jacket, blouse,"
obj393,shoe,"dress shoe, shoes, loafer,"
obj394,shoulder,"bicep, arm, upper arm, body, upper body, knee, armpit, elbow,"
obj395,shovel,"tool,"
obj396,shower,"faucet, nozzle, valve, spout, water, showerhead,"
obj397,sink,"faucet, nozzle, valve, spout, water, basin, drain, dishes,"
obj398,skateboard,"longboard, scooter, roller board, pennyboard, rollerskate, rollerblade,"
obj399,skeleton,"bones, bone, dead, cadaver, body, dead body,"
obj400,skirt,"apron,"
obj401,skis,"skiing, ski,"
obj402,skunk,"racoon, badger, possum, squirrel, rat, mouse, rodent,"
obj403,sled,"sleigh, toboggan, sledge, skate, bench,"
obj404,slide,"playground, sliding board, ladder,"
obj405,slingshot,"catapult,"
obj406,slipper,
obj407,smoke,"chimney, stack, vent, furnace, chimney stack, smoke shaft, exhaust, pollution, soot, steam, vapor, smokestack, chimney smoke, smoke chimney,"
obj408,snail,"mollusk, slug,"
obj409,snake,"serpent, cobra, python, viper, rattlesnake, copperhead, boa constrictor,"
obj410,snowman,"snow, snowwoman,"
obj411,sock,
obj412,couch,"sofa, futon, loveseat, lounge,"
obj413,soldier,"fighter, guard, officer, trooper, army, marine, army man, farmer,"
obj414,spaghetti,"pasta, noodles, linguine, fettuccine,"
obj415,spatula,"mirror, reflector, scraper, flipper,"
obj416,spider,"spiderweb, arachnid, tarantula, web,"
obj417,thread,"roll, ribbon, filament, string, wire, wool, yarn, spool,"
obj418,spoon,"utensil,"
obj419,squirrel,"rat, mouse, rodent, mouse, rabbit, cat,"
obj420,stairs,"stair, stairway, staircase, steps, stairwell, stair steps,"
obj421,statue,"sculpture, mold, bust, marble,"
obj422,steeringwheel,"wheel,"
obj423,stethoscope,"instrument, telescope,"
obj424,stocking,"sock, legging, leggings,"
obj425,stool,"chair, seat, ottoman, bench,"
obj426,stove,"oven, boiler, cooker, furnace,"
obj427,strawberry,"berry, fruit, seeds,"
obj428,stroller,"pram, buggy,"
obj429,submarine,"ship, boat, underwater,"
obj430,suitcase,"bag, briefcase, luggage, attachï¿½ case, case, handbag, purse, wallet,"
obj431,sun,"sunshine, light, daylight,"
obj432,swan,"goose, duck, crane, pelican, bird, geese, bird, dove,"
obj433,sweater,"shirt, long sleeve shirt, sweatshirt, pullover, jacket,"
obj434,swing,"swings, playground, swingset,"
obj435,sword,"weapon, foil, saber, spear, blade, dagger,"
obj436,needle,"shot, syringe, injection, pipette, vaccine, medicine,"
obj437,table,"desk, counter, stand, bench,"
obj438,tail,"butt, rear, hair, horse, horsetail, ponytail, flag, mane,"
obj439,tank,"armored vehicle, army, tanker, army tank,"
obj440,taperecorder,
obj441,teapot,"pot, kettle, tea kettle, pitcher, vase, container, mug, cup, tea, coffee, jug, teacup, jar,"
obj442,tear,"cry, crying, child, boy, girl, sad, sadness, sulk, tears,"
obj443,teepee,"hut, tent, wigwam, dwelling, yurt, reservation, house, home,"
obj444,teeth,"denture, dentures, fake teeth, molar, molars, gum, gums, dental, false teeth, retainer,"
obj445,telephone,"phone, home phone, house phone, rotary, rotary phone, old phone, dial, call, landline,"
obj446,telescope,"scope, tripod, microscope, magnifier,"
obj447,tv,"television, cable, screen, tv set, microwave,"
obj448,tennisracket,"racket, tennis, squash, racket ball, badminton,"
obj449,tent,"yurt, camp, hut, wigwam,"
obj450,thermos,
obj451,thimble,"basket, garbage,"
obj452,thumb,"finger, hang, left hand, extension, thumbs up, nail, finger thumb,"
obj453,tie,"knot, collared shirt, business attire, attire, collar, stripe, striped, stripes, striped tie, necktie,"
obj454,tiger,"leopard, lion, cheetah, panther, cat, big cat,"
obj455,tire,"wheel,"
obj456,toaster,"toaster oven,"
obj457,toe,"big toe, toenail, thumb toe, finger, hand, foot,"
obj458,toilet,"restroom, lavatory,"
obj459,tomato,"peach, apple, orange, kiwi, plum, nectarine, pumpkin,"
obj460,grave,"graveyard, tomb, tombstone, shrine, memorial, cemetery,"
obj461,toothbrush,"brush,"
obj462,top,"dreidel, spinner, urn, spin,"
obj463,towel,"rug, clothes, sweater, sheet, bath sheet, napkin, napkins, cloth, wash cloth, wipe,"
obj464,railroadtracks,"railroad, track, tracks, rail line, train, train track, train tracks, rail track, rail tracks, railroadtrack, railroad tie,"
obj465,tractor,"truck, car, vehicle, trailer, tractor trailer,"
obj466,stoplight,"light, traffic light, signal, traffic signal, traffic signals,"
obj467,train,"railroad,"
obj468,trashcan,"trash, garbage, garbage can, bin, garbage bin, trash bin, pail, garbage pail,"
obj469,tree,"oak tree,"
obj470,tripod,"mount, stand, camera stand, support, camcorder, telescope,"
obj471,trophy,"award, cup, chalice, mug, goblet,"
obj472,truck,"cargo, van,"
obj473,trumpet,"instrument, music, musical instrument, cornet, trombone, horn, clarinet, bugle, saxophone,"
obj474,chest,"box, storage, bin, trunk, case, locker,"
obj475,turkey,"bird, goose, ham, rooster, chicken, poultry, ostrich,"
obj476,turtle,"tortoise, terrapin,"
obj477,tweezers,"tweezer, pliers, tongs, clip, clips, clamp, clamps,"
obj478,typewriter,"keyboard, printer, typing machine, machine,"
obj479,umbrella,
obj480,unicorn,
obj481,unicycle,"bicycle, monocycle, wheel, tricycle, bike,"
obj482,vacuum,"mop, cleaner, vacuum cleaner, sweeper,"
obj483,vase,"jar, lamp, bottle,"
obj484,vest,"jacket, waistcoat, shirt,"
obj485,violin,"instrument, music, musical instrument, guitar, fiddle, viola, cello,"
obj486,volcano,"explosion, volcanic explosion, volcanic eruption, volcanic, storm,"
obj487,waffle,"waffle, cardboard, saucer, circle, bread, grate, grater, pancake, manhole cover, sewer cover, cookie, iron, manhole, quarter,"
obj488,wagon,"carriage, cart,"
obj489,waiter,"server, attendant, steward, waitress, chef, host, butler,"
obj490,bricks,"brick, wall, barricade, fence, brickwall, brick fence,"
obj491,wallet,
obj492,walnut,
obj493,walrus,"seal, sea lion, manatee,"
obj494,closet,"wardrobe, dresser, cabinet, cupboard, armoire, bureau,"
obj495,washingmachine,"laundry, laundry machine, washer, wash, laundromat, dryer, drying machine, stove, washer machine, dishwasher,"
obj496,watch,"clock, wristwatch, belt,"
obj497,wateringcan,
obj498,watermelon,"melon, cantaloupe, honeydew,"
obj499,spiderweb,"web, spider,"
obj500,well,"hole, reservoir, water, bucket, spring, water well, wishing well,"
obj501,whale,"dead whale, washed up,"
obj502,wheat,"crops, corn, barley, rye, oats, grain, weeds, flowers, pussywillow, dandelion, plant, grass, field, weed, grass wheat, plant, bobtail,"
obj503,wheel,"spokes, rim,"
obj504,wheelbarrow,"wagon, cart,"
obj505,wheelchair,"scooter,"
obj506,whip,
obj507,whistle,
obj508,wig,"mannequin, figure, hairpiece, hair,"
obj509,windmill,"wind turbine, fan, mill, mill house,"
obj510,window,"pane, windowpane,"
obj511,glass,"wine glass, champagne glass, cup, drink, mug, goblet,"
obj512,wing,"bird, feather, eagle,"
obj513,witch,"sorceress, wizard, broom,"
obj514,wolf,"coyote, husky, fox,"
obj515,woman,"female, dress, lady, skirt,"
obj516,worm,"larva, bug, insect, crawler, centipede, maggot, earthworm, slither, snake,"
obj517,wrench,"pliers, ratchet, tool,"
obj518,yoyo,"string, toy,"
obj519,zebra,"horse,"
obj520,zipper,